Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,20/12/1997,VFL Wolfsburg,Bayern München,2,3,A,1,2,A,,,,,,,,,,,
D1,21/12/1997,Hamburger SV,FC Hansa Rostock,0,1,A,0,1,A,,,,,,,,,,,
D1,30/01/1998,VFL Bochum,Borussia Dortmund,2,1,H,1,0,H,,,,,,,,,,,
D1,30/01/1998,VfB Stuttgart,MSV Duisburg,1,1,D,1,0,H,,,,,,,,,,,
D1,31/01/1998,Bayern München,Hamburger SV,3,0,H,2,0,H,,,,,,,,,,,
D1,31/01/1998,FC Köln,Bor. Mönchengladbach,3,2,H,1,0,H,,,,,,,,,,,
D1,31/01/1998,FC Hansa Rostock,1860 München,3,0,H,0,0,D,,,,,,,,,,,
D1,31/01/1998,Hertha BSC,VFL Wolfsburg,1,0,H,1,0,H,,,,,,,,,,,
D1,31/01/1998,FC Schalke 04,FC Kaiserslautern,1,1,D,0,1,A,,,,,,,,,,,
D1,31/01/1998,Werder Bremen,Arminia Bielefeld,2,1,H,1,1,D,,,,,,,,,,,
D1,01/02/1998,Karlsruher SC,Bayer Leverkusen,1,1,D,1,1,D,,,,,,,,,,,
D1,06/02/1998,MSV Duisburg,Karlsruher SC,1,0,H,0,0,D,,,,,,,,,,,
D1,06/02/1998,FC Kaiserslautern,VFL Bochum,3,0,H,2,0,H,,,,,,,,,,,
D1,07/02/1998,Bayern München,FC Hansa Rostock,2,0,H,2,0,H,,,,,,,,,,,
D1,07/02/1998,Arminia Bielefeld,1860 München,1,1,D,0,0,D,,,,,,,,,,,
D1,07/02/1998,Borussia Dortmund,VfB Stuttgart,3,1,H,3,0,H,,,,,,,,,,,
D1,07/02/1998,Hamburger SV,Hertha BSC,1,1,D,1,1,D,,,,,,,,,,,
D1,07/02/1998,Bayer Leverkusen,Werder Bremen,4,1,H,1,1,D,,,,,,,,,,,
D1,07/02/1998,Bor. Mönchengladbach,FC Schalke 04,0,1,A,0,1,A,,,,,,,,,,,
D1,08/02/1998,VFL Wolfsburg,FC Köln,1,1,D,0,0,D,,,,,,,,,,,
D1,13/02/1998,FC Köln,Hamburger SV,1,2,A,0,0,D,,,,,,,,,,,
D1,13/02/1998,Karlsruher SC,Borussia Dortmund,0,1,A,0,1,A,,,,,,,,,,,
D1,13/02/1998,Werder Bremen,MSV Duisburg,2,2,D,1,0,H,,,,,,,,,,,
D1,14/02/1998,VFL Bochum,Bor. Mönchengladbach,3,1,H,1,1,D,,,,,,,,,,,
D1,14/02/1998,FC Hansa Rostock,Arminia Bielefeld,2,1,H,1,0,H,,,,,,,,,,,
D1,14/02/1998,Hertha BSC,Bayern München,2,1,H,1,0,H,,,,,,,,,,,
D1,14/02/1998,1860 München,Bayer Leverkusen,3,4,A,1,0,H,,,,,,,,,,,
D1,14/02/1998,FC Schalke 04,VFL Wolfsburg,1,1,D,1,1,D,,,,,,,,,,,
D1,14/02/1998,VfB Stuttgart,FC Kaiserslautern,0,1,A,0,0,D,,,,,,,,,,,
D1,27/02/1998,Borussia Dortmund,Werder Bremen,2,2,D,0,0,D,,,,,,,,,,,
D1,27/02/1998,FC Kaiserslautern,Karlsruher SC,0,0,D,0,0,D,,,,,,,,,,,
D1,28/02/1998,Bayern München,FC Köln,0,2,A,0,0,D,,,,,,,,,,,
D1,28/02/1998,MSV Duisburg,1860 München,0,2,A,0,0,D,,,,,,,,,,,
D1,28/02/1998,Hamburger SV,FC Schalke 04,1,1,D,0,1,A,,,,,,,,,,,
D1,28/02/1998,Bayer Leverkusen,Arminia Bielefeld,0,0,D,0,0,D,,,,,,,,,,,
D1,28/02/1998,Bor. Mönchengladbach,VfB Stuttgart,0,0,D,0,0,D,,,,,,,,,,,
D1,28/02/1998,VFL Wolfsburg,VFL Bochum,0,2,A,0,1,A,,,,,,,,,,,
D1,01/03/1998,Hertha BSC,FC Hansa Rostock,1,1,D,0,0,D,,,,,,,,,,,
D1,06/03/1998,VFL Bochum,Hamburger SV,0,0,D,0,0,D,,,,,,,,,,,
D1,06/03/1998,Werder Bremen,FC Kaiserslautern,1,1,D,1,1,D,,,,,,,,,,,
D1,07/03/1998,Arminia Bielefeld,MSV Duisburg,3,3,D,1,0,H,,,,,,,,,,,
D1,07/03/1998,FC Köln,Hertha BSC,2,0,H,1,0,H,,,,,,,,,,,
D1,07/03/1998,FC Hansa Rostock,Bayer Leverkusen,1,2,A,0,2,A,,,,,,,,,,,
D1,07/03/1998,Karlsruher SC,Bor. Mönchengladbach,2,5,A,1,1,D,,,,,,,,,,,
D1,07/03/1998,1860 München,Borussia Dortmund,4,2,H,4,0,H,,,,,,,,,,,
D1,08/03/1998,FC Schalke 04,Bayern München,1,0,H,1,0,H,,,,,,,,,,,
D1,08/03/1998,VfB Stuttgart,VFL Wolfsburg,2,1,H,0,1,A,,,,,,,,,,,
D1,13/03/1998,MSV Duisburg,Bayer Leverkusen,1,1,D,1,1,D,,,,,,,,,,,
D1,13/03/1998,Hertha BSC,FC Schalke 04,1,4,A,0,1,A,,,,,,,,,,,
D1,14/03/1998,Bayern München,VFL Bochum,0,0,D,0,0,D,,,,,,,,,,,
D1,14/03/1998,Borussia Dortmund,Arminia Bielefeld,3,2,H,1,0,H,,,,,,,,,,,
D1,14/03/1998,Hamburger SV,VfB Stuttgart,0,0,D,0,0,D,,,,,,,,,,,
D1,14/03/1998,FC Kaiserslautern,1860 München,1,0,H,1,0,H,,,,,,,,,,,
D1,14/03/1998,Bor. Mönchengladbach,Werder Bremen,0,0,D,0,0,D,,,,,,,,,,,
D1,14/03/1998,VFL Wolfsburg,Karlsruher SC,1,2,A,1,1,D,,,,,,,,,,,
D1,15/03/1998,FC Köln,FC Hansa Rostock,0,0,D,0,0,D,,,,,,,,,,,
D1,21/03/1998,FC Hansa Rostock,MSV Duisburg,2,1,H,1,0,H,,,,,,,,,,,
D1,21/03/1998,Karlsruher SC,Hamburger SV,0,1,A,0,0,D,,,,,,,,,,,
D1,21/03/1998,1860 München,Bor. Mönchengladbach,2,0,H,1,0,H,,,,,,,,,,,
D1,21/03/1998,Werder Bremen,VFL Wolfsburg,3,1,H,1,0,H,,,,,,,,,,,
D1,22/03/1998,VfB Stuttgart,Bayern München,0,3,A,0,2,A,,,,,,,,,,,
D1,27/03/1998,Hamburger SV,Werder Bremen,2,1,H,0,1,A,,,,,,,,,,,
D1,27/03/1998,VFL Wolfsburg,1860 München,1,0,H,1,0,H,,,,,,,,,,,
D1,28/03/1998,Bayern München,Karlsruher SC,1,1,D,0,1,A,,,,,,,,,,,
D1,28/03/1998,Borussia Dortmund,MSV Duisburg,3,0,H,1,0,H,,,,,,,,,,,
D1,28/03/1998,Hertha BSC,VfB Stuttgart,3,0,H,2,0,H,,,,,,,,,,,
D1,28/03/1998,FC Kaiserslautern,Bayer Leverkusen,0,3,A,0,0,D,,,,,,,,,,,
D1,28/03/1998,Bor. Mönchengladbach,Arminia Bielefeld,0,0,D,0,0,D,,,,,,,,,,,
D1,28/03/1998,FC Schalke 04,FC Hansa Rostock,0,0,D,0,0,D,,,,,,,,,,,
D1,29/03/1998,FC Köln,VFL Bochum,2,1,H,1,0,H,,,,,,,,,,,
D1,03/04/1998,MSV Duisburg,FC Kaiserslautern,1,1,D,0,1,A,,,,,,,,,,,
D1,03/04/1998,Karlsruher SC,Hertha BSC,0,2,A,0,0,D,,,,,,,,,,,
D1,04/04/1998,Arminia Bielefeld,VFL Wolfsburg,0,1,A,0,0,D,,,,,,,,,,,
D1,04/04/1998,VFL Bochum,FC Schalke 04,3,0,H,1,0,H,,,,,,,,,,,
D1,04/04/1998,FC Hansa Rostock,Borussia Dortmund,3,1,H,0,1,A,,,,,,,,,,,
D1,04/04/1998,Bayer Leverkusen,Bor. Mönchengladbach,1,1,D,0,0,D,,,,,,,,,,,
D1,04/04/1998,1860 München,Hamburger SV,1,1,D,0,1,A,,,,,,,,,,,
D1,04/04/1998,Werder Bremen,Bayern München,0,3,A,0,1,A,,,,,,,,,,,
D1,05/04/1998,VfB Stuttgart,FC Köln,1,1,D,0,0,D,,,,,,,,,,,
D1,09/04/1998,VFL Bochum,FC Hansa Rostock,1,3,A,0,0,D,,,,,,,,,,,
