Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,18/02/1995,VFL Bochum,Bayern München,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,18/02/1995,Hamburger SV,VfB Stuttgart,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,18/02/1995,FC Kaiserslautern,Bayer Leverkusen,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,18/02/1995,Bor. Mönchengladbach,FC Schalke 04,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,18/02/1995,1860 München,Borussia Dortmund,1,5,A,,,,,,,,,,,,,,,,,,,,,
D1,18/02/1995,Werder Bremen,Dynamo Dresden,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,25/02/1995,Bayern München,SC Freiburg,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,25/02/1995,Borussia Dortmund,FC Köln,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,25/02/1995,Dynamo Dresden,VFL Bochum,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,25/02/1995,Eintracht Frankfurt,FC Kaiserslautern,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,25/02/1995,Bayer Leverkusen,Werder Bremen,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,25/02/1995,FC Schalke 04,MSV Duisburg,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,25/02/1995,VfB Stuttgart,1860 München,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,25/02/1995,KFC Uerdingen 05,Hamburger SV,4,1,H,,,,,,,,,,,,,,,,,,,,,
D1,26/02/1995,Karlsruher SC,Bor. Mönchengladbach,2,4,A,,,,,,,,,,,,,,,,,,,,,
D1,04/03/1995,VFL Bochum,Werder Bremen,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,04/03/1995,MSV Duisburg,Karlsruher SC,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,04/03/1995,Eintracht Frankfurt,Bayer Leverkusen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,04/03/1995,SC Freiburg,Dynamo Dresden,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,04/03/1995,Hamburger SV,FC Schalke 04,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,04/03/1995,FC Kaiserslautern,Borussia Dortmund,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,04/03/1995,Bor. Mönchengladbach,Bayern München,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,05/03/1995,FC Köln,VfB Stuttgart,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,10/03/1995,Bayern München,MSV Duisburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,10/03/1995,Werder Bremen,SC Freiburg,5,1,H,,,,,,,,,,,,,,,,,,,,,
D1,11/03/1995,Borussia Dortmund,Eintracht Frankfurt,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,11/03/1995,Dynamo Dresden,Bor. Mönchengladbach,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,11/03/1995,Karlsruher SC,Hamburger SV,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,11/03/1995,Bayer Leverkusen,VFL Bochum,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,11/03/1995,VfB Stuttgart,FC Kaiserslautern,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,11/03/1995,KFC Uerdingen 05,FC Köln,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,12/03/1995,FC Schalke 04,1860 München,6,2,H,,,,,,,,,,,,,,,,,,,,,
D1,17/03/1995,FC Kaiserslautern,KFC Uerdingen 05,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,17/03/1995,Bor. Mönchengladbach,Werder Bremen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,18/03/1995,Borussia Dortmund,Bayer Leverkusen,0,3,A,,,,,,,,,,,,,,,,,,,,,
D1,18/03/1995,Eintracht Frankfurt,VfB Stuttgart,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,18/03/1995,FC Köln,FC Schalke 04,5,1,H,,,,,,,,,,,,,,,,,,,,,
D1,18/03/1995,SC Freiburg,VFL Bochum,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,18/03/1995,Hamburger SV,Bayern München,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,18/03/1995,1860 München,Karlsruher SC,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,19/03/1995,MSV Duisburg,Dynamo Dresden,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,21/03/1995,1860 München,KFC Uerdingen 05,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,25/03/1995,Bayern München,1860 München,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,25/03/1995,VFL Bochum,Bor. Mönchengladbach,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,25/03/1995,Dynamo Dresden,Hamburger SV,1,1,D,,,,,,,,,,,,,,,,,,,,,
