Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
D1,23/09/2000,VFL Wolfsburg,Hamburger SV,4,4,D,2,1,H,21000,Alfons Berg ,15,7,7,7,0,0,4,5,20,29,1,0,1,2,0,0,10,20,2.15,3.25,2.9,2.3,2.9,2.5,2.1,3.25,2.85,2.25,3.2,2.8,2.1,3.2,3
D1,24/09/2000,FC Hansa Rostock,FC Kaiserslautern,1,0,H,0,0,D,16000,Jürgen Aust ,11,11,3,2,1,0,13,6,19,26,4,2,2,1,0,0,20,10,2.4,3.2,2.55,2.2,2.9,2.7,2.5,3.2,2.5,2.38,3.2,2.63,2.4,3.1,2.62
D1,24/09/2000,SpVgg Unterhaching,Hertha BSC,5,2,H,2,1,H,9000,Michael Weiner ,8,12,6,4,0,0,7,5,10,10,2,2,1,2,0,0,10,20,2.45,3.25,2.5,2.7,2.9,2.2,2.6,3.2,2.35,2.6,3.2,2.4,2.62,3.1,2.4
D1,29/09/2000,Eintracht Frankfurt,Borussia Dortmund,1,1,D,1,0,H,40000,Hermann Albrecht ,10,12,5,4,0,0,4,6,7,11,2,2,2,3,0,0,20,30,2.2,3.2,2.75,2.3,2.9,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.1,2.5
D1,30/09/2000,Bayern München,FC Hansa Rostock,0,1,A,0,1,A,60000,Alfons Berg ,26,8,13,3,0,0,6,5,12,15,3,7,1,2,0,0,10,20,1.2,5.3,10,1.2,4.7,9,1.2,5,11,1.22,5,10,1.2,5,11
D1,30/09/2000,VFL Bochum,SpVgg Unterhaching,3,0,H,0,0,D,16500,Uwe Kemmling ,12,3,7,1,0,0,9,5,16,11,1,6,3,1,0,0,30,10,1.95,3.35,3.2,1.75,3.1,3.6,1.8,3.25,3.75,1.75,3.25,4.2,1.8,3.3,3.75
D1,30/09/2000,Hamburger SV,FC Schalke 04,2,0,H,1,0,H,50000,Lutz Wagner ,7,6,6,2,0,0,3,7,17,15,0,2,2,2,0,1,20,45,1.95,3.2,3.45,2,2.9,3,2.1,3.25,2.85,2.2,3.2,2.88,2.2,3.1,2.87
D1,30/09/2000,Hertha BSC,FC Köln,4,2,H,3,2,H,30000,Edgar Steinborn ,16,9,10,5,0,0,5,10,23,20,2,3,2,2,0,0,20,20,1.5,3.6,5.7,1.45,3.5,5,1.5,3.6,5.5,1.45,3.6,6,1.5,3.6,5.5
D1,30/09/2000,FC Kaiserslautern,Energie Cottbus,1,1,D,1,0,H,30000,Bernd Heynemann ,8,14,4,7,0,1,11,5,13,21,2,1,2,2,0,0,20,20,1.35,3.8,7.2,1.4,3.6,5.5,1.3,4,8,1.4,3.75,7.5,1.3,4,9
D1,30/09/2000,Bayer Leverkusen,1860 München,0,0,D,0,0,D,22500,Hartmut Strampe ,23,19,4,7,2,1,14,8,15,18,2,2,3,3,1,0,55,30,1.66,3.5,4.3,1.6,3.2,4.2,1.65,3.4,4.3,1.7,3.4,4.33,1.65,3.25,4.75
