Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,20/03/1999,VfB Stuttgart,M'gladbach,2,2,D,1,0,H,,,,,,,,,,,
D1,21/03/1999,Hansa Rostock,Hamburger SV,0,1,A,0,1,A,,,,,,,,,,,
D1,03/04/1999,Dortmund,Bayern München,2,2,D,2,0,H,,,,,,,,,,,
D1,03/04/1999,Hamburger SV,SC Freiburg,2,1,H,1,1,D,,,,,,,,,,,
D1,03/04/1999,Kaiserslautern,Bayer Leverkusen,0,1,A,0,1,A,,,,,,,,,,,
D1,03/04/1999,1860 München,FC Nürnberg,1,2,A,0,1,A,,,,,,,,,,,
D1,03/04/1999,Schalke 04,VFL Wolfsburg,2,0,H,0,0,D,,,,,,,,,,,
D1,03/04/1999,VfB Stuttgart,MSV Duisburg,0,0,D,0,0,D,,,,,,,,,,,
D1,03/04/1999,Werder Bremen,Hansa Rostock,0,3,A,0,2,A,,,,,,,,,,,
D1,04/04/1999,Ein Frankfurt,Bochum,1,0,H,0,0,D,,,,,,,,,,,
D1,04/04/1999,M'gladbach,Hertha BSC,2,4,A,0,1,A,,,,,,,,,,,
D1,09/04/1999,MSV Duisburg,Hamburger SV,2,3,A,2,0,H,,,,,,,,,,,
D1,09/04/1999,SC Freiburg,Werder Bremen,0,2,A,0,0,D,,,,,,,,,,,
D1,10/04/1999,Bayern München,Schalke 04,1,1,D,0,0,D,,,,,,,,,,,
D1,10/04/1999,Hansa Rostock,Dortmund,2,0,H,0,0,D,,,,,,,,,,,
D1,10/04/1999,Hertha BSC,VfB Stuttgart,2,0,H,0,0,D,,,,,,,,,,,
D1,10/04/1999,Bayer Leverkusen,Ein Frankfurt,2,1,H,2,0,H,,,,,,,,,,,
D1,10/04/1999,FC Nürnberg,M'gladbach,2,0,H,1,0,H,,,,,,,,,,,
D1,10/04/1999,VFL Wolfsburg,Kaiserslautern,2,1,H,1,0,H,,,,,,,,,,,
D1,11/04/1999,Bochum,1860 München,2,0,H,0,0,D,,,,,,,,,,,
D1,13/04/1999,Ein Frankfurt,VFL Wolfsburg,0,1,A,0,1,A,,,,,,,,,,,
D1,13/04/1999,Kaiserslautern,Bayern München,2,1,H,2,1,H,,,,,,,,,,,
D1,13/04/1999,Schalke 04,Hansa Rostock,1,0,H,0,0,D,,,,,,,,,,,
D1,13/04/1999,VfB Stuttgart,FC Nürnberg,0,0,D,0,0,D,,,,,,,,,,,
D1,13/04/1999,Werder Bremen,Hamburger SV,0,0,D,0,0,D,,,,,,,,,,,
D1,14/04/1999,Dortmund,SC Freiburg,2,1,H,1,1,D,,,,,,,,,,,
D1,14/04/1999,Hertha BSC,MSV Duisburg,1,3,A,0,1,A,,,,,,,,,,,
D1,14/04/1999,M'gladbach,Bochum,2,2,D,0,0,D,,,,,,,,,,,
D1,14/04/1999,1860 München,Bayer Leverkusen,0,2,A,0,0,D,,,,,,,,,,,
D1,16/04/1999,Bayern München,Ein Frankfurt,3,1,H,2,0,H,,,,,,,,,,,
D1,16/04/1999,Hansa Rostock,Kaiserslautern,2,1,H,1,0,H,,,,,,,,,,,
D1,17/04/1999,Bochum,VfB Stuttgart,3,3,D,0,2,A,,,,,,,,,,,
D1,17/04/1999,MSV Duisburg,Werder Bremen,2,0,H,1,0,H,,,,,,,,,,,
D1,17/04/1999,SC Freiburg,Schalke 04,0,2,A,0,0,D,,,,,,,,,,,
D1,17/04/1999,Bayer Leverkusen,M'gladbach,4,1,H,1,0,H,,,,,,,,,,,
D1,17/04/1999,FC Nürnberg,Hertha BSC,0,0,D,0,0,D,,,,,,,,,,,
D1,17/04/1999,VFL Wolfsburg,1860 München,1,0,H,0,0,D,,,,,,,,,,,
D1,18/04/1999,Hamburger SV,Dortmund,0,0,D,0,0,D,,,,,,,,,,,
D1,23/04/1999,Dortmund,Werder Bremen,2,1,H,0,1,A,,,,,,,,,,,
D1,23/04/1999,VfB Stuttgart,Bayer Leverkusen,0,1,A,0,1,A,,,,,,,,,,,
D1,24/04/1999,Ein Frankfurt,Hansa Rostock,2,2,D,0,1,A,,,,,,,,,,,
D1,24/04/1999,Hertha BSC,Bochum,4,1,H,3,0,H,,,,,,,,,,,
D1,24/04/1999,Kaiserslautern,SC Freiburg,0,2,A,0,1,A,,,,,,,,,,,
D1,24/04/1999,M'gladbach,VFL Wolfsburg,5,2,H,2,0,H,,,,,,,,,,,
D1,24/04/1999,FC Nürnberg,MSV Duisburg,0,2,A,0,1,A,,,,,,,,,,,
D1,24/04/1999,Schalke 04,Hamburger SV,1,4,A,1,2,A,,,,,,,,,,,
D1,25/04/1999,1860 München,Bayern München,1,1,D,0,0,D,,,,,,,,,,,
D1,30/04/1999,Bochum,FC Nürnberg,0,3,A,0,1,A,,,,,,,,,,,
D1,30/04/1999,SC Freiburg,Ein Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,01/05/1999,Bayern München,M'gladbach,4,2,H,1,1,D,,,,,,,,,,,
D1,01/05/1999,Hamburger SV,Kaiserslautern,2,0,H,1,0,H,,,,,,,,,,,
D1,01/05/1999,Hansa Rostock,1860 München,4,1,H,4,0,H,,,,,,,,,,,
D1,01/05/1999,Bayer Leverkusen,Hertha BSC,2,2,D,1,1,D,,,,,,,,,,,
D1,01/05/1999,VFL Wolfsburg,VfB Stuttgart,3,2,H,0,2,A,,,,,,,,,,,
D1,02/05/1999,MSV Duisburg,Dortmund,3,2,H,3,1,H,,,,,,,,,,,
D1,04/05/1999,Ein Frankfurt,Hamburger SV,2,2,D,2,0,H,,,,,,,,,,,
D1,04/05/1999,Kaiserslautern,Werder Bremen,4,0,H,1,0,H,,,,,,,,,,,
D1,04/05/1999,M'gladbach,Hansa Rostock,1,1,D,0,0,D,,,,,,,,,,,
